RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00288,DRDO-PC-0080,Drive makes abnormal clicking sounds during recent operation.,Abnormal mechanical noise; read retries,Disk Failure,Mechanical drive failure indicators,Mechanical head or spindle degradation,Replaced mechanically failing drive immediately,Completed,Diagnosis confirmed through targeted checks. Replaced mechanically failing drive immediately,Yes
REP-00603,DRDO-PC-0032,Computer sometimes fails to start on the first attempt,Intermittent startup failure,Power Issue,Intermittent startup power fault,Intermittent PSU startup behavior,Diagnosed startup rail behavior and replaced unstable power supply,Completed,Diagnosis confirmed through targeted checks. Diagnosed startup rail behavior and replaced unstable power supply,Yes
REP-00570,DRDO-PC-0018,RAM reaches near full capacity without additional workload,Near-capacity RAM without workload increase,Memory Leak,Abnormal RAM growth without workload growth,Runaway software allocation,Removed faulty software component causing runaway allocation,Completed,Diagnosis confirmed through targeted checks. Removed faulty software component causing runaway allocation,Yes
REP-00744,DRDO-PC-0031,Maintenance note: Machine reboots when GPU or CPU load rises and requests diagnosis.,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
REP-00018,DRDO-PC-0101,Workstation overheats during continuous operation,Sustained thermal stress during continuous operation,Overheating,Continuous-operation thermal instability,Long-duration load with degraded cooling assembly,Serviced cooling assembly for continuous-duty operation,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly for continuous-duty operation,Yes
REP-00128,DRDO-PC-0020,Observed issue: Temperature rises rapidly during sustained CPU load and requests diagnosis.,Temperature spike; delayed cooling response,Overheating,Cooling response lag detected,Fan-control response delay,Corrected fan-control configuration and tested response,Completed,Diagnosis confirmed through targeted checks. Corrected fan-control configuration and tested response,Yes
REP-00323,DRDO-PC-0051,Observed issue: System reports SMART warnings for the drive and requests diagnosis.,SMART attributes outside healthy range,Disk Failure,SMART-predicted drive failure,SMART attribute deterioration,Migrated data to a healthy drive and retired failing device,Completed,Diagnosis confirmed through targeted checks. Migrated data to a healthy drive and retired failing device,Yes
REP-00256,DRDO-PC-0090,Observed issue: Repeated I O errors appear in system logs.,Repeated operating-system I O errors,Disk Failure,Persistent disk I O fault,Persistent hardware-level I O faults,Replaced storage device after repeated hardware I O errors,Completed,Diagnosis confirmed through targeted checks. Replaced storage device after repeated hardware I O errors,Yes
REP-00658,DRDO-PC-0064,Observed issue: System log shows repeated unexpected power events.,Repeated unexpected power events,Power Issue,Recurring power delivery event,Unstable system power source,Diagnosed repeated power events and restored stable supply path,Completed,Diagnosis confirmed through targeted checks. Diagnosed repeated power events and restored stable supply path,Yes
REP-00965,DRDO-PC-0084,System performance is normal but health verification is needed,Stable performance; no abnormal telemetry reported,No Problem,Healthy operating state,Components operating within expected condition,Recorded healthy status and retained monitoring schedule,Completed,Diagnosis confirmed through targeted checks. Recorded healthy status and retained monitoring schedule,Yes
REP-00191,DRDO-PC-0086,User reports: Frequent thermal warnings during long workloads,Repeated thermal alerts; sustained high temperature,Overheating,Recurring processor thermal excursion,Intermittent fan performance,Replaced intermittent fan module,Completed,Diagnosis confirmed through targeted checks. Replaced intermittent fan module,Yes
REP-00116,DRDO-PC-0030,User reports: PC gets hot and unexpectedly powers off during recent operation.,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-00617,DRDO-PC-0043,PC turns off immediately after starting a demanding task,Immediate shutdown on demanding workload,Power Issue,Immediate load-triggered power protection event,Load-triggered overcurrent or undervoltage protection,Corrected overload condition and replaced degraded supply if needed,Completed,Diagnosis confirmed through targeted checks. Corrected overload condition and replaced degraded supply if needed,Yes
REP-00607,DRDO-PC-0081,System loses power intermittently,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00181,DRDO-PC-0057,User reports: PC becomes extremely hot during heavy workloads,Sustained high CPU temperature; thermal throttling,Overheating,CPU cooling efficiency degraded,Dried thermal interface material,Replaced thermal paste and verified load temperatures,Completed,Diagnosis confirmed through targeted checks. Replaced thermal paste and verified load temperatures,Yes
REP-00302,DRDO-PC-0052,User reports: PC freezes while copying large files during recent operation.,I O stall during file copy; system freeze,Disk Failure,Disk I O instability,Degraded drive electronics or media,Replaced degraded storage device and tested file transfers,Completed,Diagnosis confirmed through targeted checks. Replaced degraded storage device and tested file transfers,Yes
REP-00760,DRDO-PC-0058,Maintenance note: Power-on attempts sometimes produce no response and requests diagnosis.,Intermittent no-power condition,Power Issue,Intermittent power-on path fault,Intermittent front-panel or PSU startup path,Repaired startup switch path or replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Repaired startup switch path or replaced intermittent PSU,Yes
REP-00713,DRDO-PC-0067,User reports: System becomes unstable when load changes rapidly during recent operation.,Instability during rapid load transition,Power Issue,Transient load power instability,Poor transient response from power supply,Replaced supply with poor transient response and stress-tested system,Completed,Diagnosis confirmed through targeted checks. Replaced supply with poor transient response and stress-tested system,Yes
REP-00724,DRDO-PC-0008,Observed issue: Machine reboots when GPU or CPU load rises and requests diagnosis.,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
REP-00686,DRDO-PC-0063,PC shuts down when multiple peripherals are connected during recent operation.,Shutdown with increased peripheral load,Power Issue,Insufficient power delivery under peripheral load,Peripheral load exceeds stable delivery capacity,Reduced unsupported load or upgraded PSU capacity,Completed,Diagnosis confirmed through targeted checks. Reduced unsupported load or upgraded PSU capacity,Yes
REP-00980,DRDO-PC-0043,Standard periodic health audit requested,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00518,DRDO-PC-0054,User reports: Application performance degrades as RAM usage grows during recent operation.,Performance degradation correlated with RAM growth,Memory Leak,RAM growth causing performance degradation,Increasing working set from leak,Applied software fix and verified RAM growth stopped,Completed,Diagnosis confirmed through targeted checks. Applied software fix and verified RAM growth stopped,Yes
